work_year,experience_level,employment_type,job_title,salary_in_usd,remote_ratio,company_size,employees_residence,companys_location
2023,EX-Executive/Director,Full time,Data Scientist,258750,0,M,United States of America,United States of America
2023,EX-Executive/Director,Full time,Data Scientist,185000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,231500,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,166000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,172500,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,110500,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,238000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,176000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,237000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,201450,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Applied Scientist,309400,0,L,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Applied Scientist,159100,0,L,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,115000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,81500,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,237000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,201450,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Computer Vision Engineer,280000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Computer Vision Engineer,210000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Architect,280100,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Architect,168100,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,193500,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,139000,100,M,United States of America,United States of America
2023,MI-Mid/Intermediate,Full time,Data Scientist,65062,0,L,"Hong Kong, SAR China","Hong Kong, SAR China"
2023,SE-Senior/Expert,Full time,Machine Learning Engineer,150000,100,M,Portugal,United States of America
2023,MI-Mid/Intermediate,Full time,Applied Machine Learning Engineer,69751,100,S,India,Germany
2022,EN-Entry/Junior,Full time,AI Developer,300000,50,L,India,India
2023,MI-Mid/Intermediate,Full time,Machine Learning Engineer,96578,100,L,Netherlands,Netherlands
2023,SE-Senior/Expert,Full time,Business Intelligence Engineer,185900,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Business Intelligence Engineer,129300,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,225000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,175000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,185000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,140000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,48289,0,M,Spain,Spain
2023,SE-Senior/Expert,Full time,Data Scientist,38631,0,M,Spain,Spain
2023,SE-Senior/Expert,Full time,Data Scientist,105000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,70000,0,M,United States of America,United States of America
2023,EN-Entry/Junior,Full time,Machine Learning Engineer,163196,0,M,United States of America,United States of America
2023,EN-Entry/Junior,Full time,Machine Learning Engineer,145885,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,217000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,185000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Analyst,202800,0,L,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Analyst,104300,0,L,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Analyst,145000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Analyst,65000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,165000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,132300,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,179170,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,94300,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Analytics Engineer,152500,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Analytics Engineer,116450,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,247300,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,133800,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Research Engineer,203000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Research Engineer,133000,0,M,United States of America,United States of America
2023,EN-Entry/Junior,Full time,Research Scientist,220000,50,L,United States of America,United States of America
2022,EN-Entry/Junior,Full time,Machine Learning Engineer,56536,100,S,Switzerland,Switzerland
2023,SE-Senior/Expert,Full time,Data Scientist,120000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Analytics Engineer,289800,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Analytics Engineer,214000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Analytics Engineer,179820,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Analytics Engineer,143860,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Machine Learning Engineer,283200,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Machine Learning Engineer,188800,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Analytics Engineer,214200,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,185900,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,129300,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,252000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,129000,0,M,United States of America,United States of America
2023,MI-Mid/Intermediate,Full time,Data Analytics Manager,155000,0,M,United States of America,United States of America
2023,MI-Mid/Intermediate,Full time,Data Analytics Manager,140000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,161800,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,141600,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Machine Learning Engineer,342300,0,L,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Machine Learning Engineer,176100,0,L,United States of America,United States of America
2023,MI-Mid/Intermediate,Full time,Data Engineer,100000,100,M,United States of America,United States of America
2023,MI-Mid/Intermediate,Full time,Data Engineer,70000,100,M,United States of America,United States of America
2023,EN-Entry/Junior,Full time,Data Engineer,85000,0,M,United States of America,United States of America
2023,EN-Entry/Junior,Full time,Data Engineer,65000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,138784,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,83270,100,M,United States of America,United States of America
2023,EN-Entry/Junior,Full time,Data Analyst,75000,0,M,United States of America,United States of America
2023,EN-Entry/Junior,Full time,Data Analyst,70000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Analyst,204500,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Analyst,138900,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Machine Learning Engineer,318300,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Machine Learning Engineer,212200,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,95000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,75000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,195000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,160000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Analytics Engineer,230000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Analytics Engineer,143200,0,M,United States of America,United States of America
2023,MI-Mid/Intermediate,Full time,Business Data Analyst,105000,50,L,United States of America,United States of America
2023,MI-Mid/Intermediate,Full time,Applied Data Scientist,20670,100,L,India,India
2023,MI-Mid/Intermediate,Full time,Data Analyst,46178,0,M,United Kingdom,United Kingdom
2023,MI-Mid/Intermediate,Full time,Data Analyst,42533,0,M,United Kingdom,United Kingdom
2023,SE-Senior/Expert,Full time,Data Engineer,145000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Analyst,168400,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Analyst,105200,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Machine Learning Engineer,190000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Machine Learning Engineer,150000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Analytics Engineer,150000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Analytics Engineer,120000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,120000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Analyst,54685,100,M,Central African Republic,Central African Republic
2023,SE-Senior/Expert,Full time,Data Analyst,42533,100,M,Central African Republic,Central African Republic
2023,SE-Senior/Expert,Full time,Data Engineer,241000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,155000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,220000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,190000,100,M,United States of America,United States of America
2023,MI-Mid/Intermediate,Full time,Data Scientist,66837,0,M,United Kingdom,United Kingdom
2023,MI-Mid/Intermediate,Full time,Data Scientist,54685,0,M,United Kingdom,United Kingdom
2020,EX-Executive/Director,Full time,Staff Data Analyst,15000,0,M,Nigeria,Canada
2023,MI-Mid/Intermediate,Full time,ETL Engineer,85066,100,M,United Kingdom,United Kingdom
2023,MI-Mid/Intermediate,Full time,ETL Engineer,57723,100,M,United Kingdom,United Kingdom
2023,EN-Entry/Junior,Full time,Data Analyst,85000,100,M,United States of America,United States of America
2023,EN-Entry/Junior,Full time,Data Analyst,75000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,160000,0,M,United States of America,United States of America
2023,MI-Mid/Intermediate,Full time,Machine Learning Engineer,300000,0,M,United States of America,United States of America
2023,MI-Mid/Intermediate,Full time,Machine Learning Engineer,250000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,228000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,186000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,190000,0,M,United States of America,United States of America
2023,MI-Mid/Intermediate,Full time,Research Engineer,230000,0,M,United States of America,United States of America
2023,MI-Mid/Intermediate,Full time,Research Engineer,200000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Architect,180000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Architect,115000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Architect,200000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data DevOps Engineer,53654,50,S,France,France
2023,EX-Executive/Director,Full time,Data Engineer,220000,0,M,United States of America,United States of America
2023,EX-Executive/Director,Full time,Data Engineer,205000,0,M,United States of America,United States of America
2023,MI-Mid/Intermediate,Full time,Data Engineer,180000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,200000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,150000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Computer Vision Engineer,215000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Computer Vision Engineer,170000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Machine Learning Engineer,247500,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Machine Learning Engineer,172200,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,224000,0,M,Canada,Canada
2023,SE-Senior/Expert,Full time,Data Scientist,176000,0,M,Canada,Canada
2023,SE-Senior/Expert,Full time,Data Analyst,120000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Analyst,75000,100,M,United States of America,United States of America
2023,EN-Entry/Junior,Full time,Data Engineer,17022,100,L,India,India
2023,SE-Senior/Expert,Full time,Applied Data Scientist,68318,100,M,Australia,Finland
2023,MI-Mid/Intermediate,Full time,AI Developer,75020,0,M,Finland,Finland
2023,SE-Senior/Expert,Full time,Data Analyst,140000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Analyst,120000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,128000,0,M,United States of America,United States of America
2023,EX-Executive/Director,Full time,Head of Data,329500,0,M,United States of America,United States of America
2023,EX-Executive/Director,Full time,Head of Data,269600,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Quality Analyst,100000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Quality Analyst,80000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,250000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,162500,0,M,United States of America,United States of America
2023,MI-Mid/Intermediate,Full time,AI Developer,200000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,100000,0,M,United States of America,United States of America
2023,EX-Executive/Director,Full time,Data Engineer,145000,0,M,United States of America,United States of America
2023,EX-Executive/Director,Full time,Data Engineer,115000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,203500,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,152000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,239000,0,L,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,122900,0,L,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,237000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,145000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Science Manager,191765,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Science Manager,134236,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Analytics Engineer,190000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Analytics Engineer,112000,100,M,United States of America,United States of America
2022,SE-Senior/Expert,Full time,Data Scientist,88256,100,L,Spain,United Kingdom
2023,SE-Senior/Expert,Full time,Data Analyst,135000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Analyst,105500,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Research Engineer,293000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Research Engineer,185000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Analyst,80000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Analyst,70000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,160000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,175000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,145000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Analyst,200000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Analyst,148500,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,240500,0,L,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,123700,0,L,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Analytics Engineer,152900,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Analytics Engineer,117100,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Analytics Engineer,173000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Analytics Engineer,113000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Applied Scientist,260000,0,L,United States of America,United States of America
2023,EX-Executive/Director,Full time,Data Engineer,175000,0,M,United States of America,United States of America
2023,EX-Executive/Director,Full time,Data Engineer,110000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Research Scientist,130000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Research Scientist,110000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Applied Scientist,205000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Applied Scientist,184000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Analyst,149500,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Analyst,127075,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,219535,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,146115,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,135000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,199000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,162000,0,M,United States of America,United States of America
2023,EX-Executive/Director,Full time,Analytics Engineer,221000,100,M,United States of America,United States of America
2023,EX-Executive/Director,Full time,Analytics Engineer,153000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Analyst,187000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Analyst,128000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Research Scientist,210000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Research Scientist,136000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,100000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,179000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,109000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,245000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,180000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Analyst,142000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Manager,198800,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Manager,105200,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Analyst,125000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Analyst,112000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,210000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,155000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Manager,115000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Manager,86000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,165000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,140000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Analyst,139000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Analyst,106000,0,M,United States of America,United States of America
2023,EN-Entry/Junior,Full time,Data Analyst,40663,0,L,Canada,Canada
2022,SE-Senior/Expert,Full time,AI Developer,275000,0,S,Canada,Canada
2023,SE-Senior/Expert,Freelance,Machine Learning Researcher,50000,50,S,Ukraine,Ukraine
2023,MI-Mid/Intermediate,Full time,Machine Learning Engineer,280700,100,M,United States of America,United States of America
2023,MI-Mid/Intermediate,Full time,Machine Learning Engineer,150450,100,M,United States of America,United States of America
2023,EN-Entry/Junior,Full time,Data Scientist,51753,100,L,Canada,Canada
2023,SE-Senior/Expert,Full time,Data Architect,250500,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Architect,159500,0,M,United States of America,United States of America
2023,EN-Entry/Junior,Full time,Data Scientist,130001,100,M,United States of America,United States of America
2023,EN-Entry/Junior,Full time,Data Scientist,71907,100,M,United States of America,United States of America
2023,MI-Mid/Intermediate,Full time,Data Scientist,93918,100,M,United States of America,United States of America
2023,MI-Mid/Intermediate,Full time,Data Scientist,51962,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Analyst,175000,100,M,Canada,Canada
2023,SE-Senior/Expert,Full time,Data Analyst,135000,100,M,Canada,Canada
2023,SE-Senior/Expert,Full time,Machine Learning Engineer,257000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Machine Learning Engineer,147000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,222000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,203000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,133200,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,221000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,147000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,185900,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,129300,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,238000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,156000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Machine Learning Engineer,304000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Machine Learning Engineer,199000,100,M,United States of America,United States of America
2023,MI-Mid/Intermediate,Full time,Big Data Engineer,48289,100,M,Spain,Spain
2023,SE-Senior/Expert,Full time,Data Engineer,150000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,130000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,140000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,110000,100,M,United States of America,United States of America
2023,MI-Mid/Intermediate,Full time,Data Analyst,90000,0,M,United States of America,United States of America
2023,MI-Mid/Intermediate,Full time,Data Analyst,75000,0,M,United States of America,United States of America
2023,MI-Mid/Intermediate,Full time,Research Scientist,195895,0,M,United Kingdom,United Kingdom
2023,MI-Mid/Intermediate,Full time,Research Scientist,102772,0,M,United Kingdom,United Kingdom
2023,SE-Senior/Expert,Full time,Data Engineer,240000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,183600,0,M,United States of America,United States of America
2023,MI-Mid/Intermediate,Full time,Data Specialist,130000,0,M,United States of America,United States of America
2023,MI-Mid/Intermediate,Full time,Data Specialist,80000,0,M,United States of America,United States of America
